Gene,Count
AMELX,8
TUFT1,6
ODAM,6
COL17A1,6
COL1A1,5
COL2A1,5
AMTN,5
AMBN,4
ENAM,4
ALB,3
SERPINC1,3
COL1A2,2
MMP20,2
AMELY,1
