Gene,Count
CYTB,123
ND5,115
ND4,101
ATP6,100
ND2,97
COX1,89
COX3,88
COX2,87
ND1,86
ND6,75
ND3,75
ND4L,56
ATP8,36
no gene,25
MAPR-DQA,9
CYT B,2
MT-CO1,1
MB,1
D,1
HBA-T2,1
FGF5,1
A2AB,1
VWF,1
MT-CYB,1
CYTOCHROME B,1
MT-ND1,1
MT-ND6,1
MT-ND4,1
MT-ND5,1
MT-ATP8,1
MT-ND2,1
MC1R,1
LEPR,1
IRBP,1
MT-ND3,1
MT-ATP6,1
MT-ND4L,1
MT-CO2,1
