Species,TaxID,Count
Mammuthus primigenius,37349,845
Mammuthus sp.,1851651,255
Mammuthus columbi,1027716,50
Mammuthus exilis,1851653,14
Mammuthus sp. Bechan Cave,1975613,13
Mammuthus jeffersonii,1851652,7
Mammuthus,37348,4
